Name,Description,Icon,Price,Category,Link,GameCharImage
Iron Lung,"The
Iron Lung
Exotic Light Machine Gun obtained on your account;
All other
High-End
and
Exotic
gear that might drop during the service;
Experience for your Season Pass and SHD Level.",,"31,49 €",Exotic Weapons,https://skycoach.gg/division-2-boost/exotic-weapons,https://skycoach.gg/storage/uploads/products/iron-lung1698741968_picture_item.png
God Roll Armor,"Buy the God Roll armor for The Division 2 with any attributes and Talents. Customize your order and get any high-end item in the game for a fair price.
To get the best armor using our boosting service:
Choose the desired gear slot, from mask to kneepads.
Browse through the available Talens (if chest or backpack) and lock the one you need.
Pick the Core and Secondary attributes for your god roll armor piece.
Select the stat quality. We guarantee at least 70% of the max stat value (ex., 70% Crit Hit Chance is a 4.2% in-game), but the actual number is usually higher.
Enjoy The Division 2 God Rolls for sale and forget about hours of endless solo grind.",,"36,99 €",🔥Crossroads,https://skycoach.gg/division-2-boost/current-season,https://skycoach.gg/storage/uploads/products/god-roll-armor1747995528_picture_item.png
Bighorn,"Buy The Bighorn exotic assault rifle. Bighorn's combination of raw power, versatility, and adaptability makes it a top-tier weapon for players looking to tackle Division 2's hardest content while maintaining flexibility in their combat style.
With our service, you will get:
The
Bighorn
Exotic Assault Rifle obtained on your account;
All other
High-End
and
Exotic
gear that might drop during the service;
Experience for your Season Pass and SHD Level.",,"31,99 €",Exotic Weapons,https://skycoach.gg/division-2-boost/exotic-weapons,https://skycoach.gg/storage/uploads/products/bighorn1698741923_picture_item.png
Eagle Bearer,"Buy Division 2 Eagle Bearer and easily obtain this powerful exotic Assault Rifle. This is the perfect weapon for long-range due to its unique ability to increase accuracy over time when holding the fire button. Stay locked and loaded with our Eagle Bearer Boosting service and receive the following:
The Eagle Bearer Exotic Assa
ult Rifle obtained on your account;
All other
High-End
and
Exotic
gear that might drop during the service;
Experience for your Season Pass and SHD Level.",,"43,99 €",Exotic Weapons,https://skycoach.gg/division-2-boost/exotic-weapons,https://skycoach.gg/storage/uploads/products/eagle-bearer1698135610_picture_item.png
Measured Assembly Gear Set,"The Measured Assembly Gear Set obtained on your account;
All other High-End and Exotic gear that might drop during the service;
Experience for your Season Pass and Artifact.
The Measured Assembly Gear Set provides the following bonuses:
• 2 pieces – + to Skill Haste
• 3 pieces – + to Repair Skills
• 4 pieces give access to the unique talent.
""Huddle"":
Receive +1 Skill Tier for each Agent within your Hive or Smart Cover range.
Grants Overcharge at Skill Tier 6. Enemy skills within your Hive or Smart Cover will be destroyed.
Backpack Talent: Decrease the cooldown of destroying the enemy skills.",,"18,99 €",🔥Crossroads,https://skycoach.gg/division-2-boost/current-season,https://skycoach.gg/storage/uploads/products/measured-assembly1748325796_picture_item.png
Raid Exotics Bundle,"The
Ouroboros
Exotic Submachine Gun obtained on your account;
The
Eagle Bearer
Exotic Assault Rifle obtained on your account;
The
Ravenous
Exotic Rifle obtained on your account;
The
Regulus
Exotic Pistol obtained on your account;
All other
High-End
and
Exotic
gear that might drop during the service;
Experience for your Season Pass and SHD-Level.",,"149,99 €",Exotic Weapons,https://skycoach.gg/division-2-boost/exotic-weapons,https://skycoach.gg/storage/uploads/products/raid-exotics-bundle1700233534_picture_item.png
Bullet King,"The
Bullet King
Exotic Light Machine Gun obtained on your account;
All other
High-End
and
Exotic
gear that might drop during the service;
Experience for your Season Pass and SHD Level.",,"28,99 €",Exotic Weapons,https://skycoach.gg/division-2-boost/exotic-weapons,https://skycoach.gg/storage/uploads/products/bullet-king1698741837_picture_item.png
Battle for Brooklyn Campaign,"Buy the Battle for Brooklyn DLC campaign boost to conquer the new frontlines fast!
Power through this challenging campaign with the help of professional Skycoach agents. Skip the story bits for your main or secondary characters and get straight into the endgame. Whether you're returning to the game for DLC content or have been playing since the launch, our Battle for Brooklyn carry service ensures a fast, secure, and loot-packed ride.
Our campaign service includes the following:
Full completion of the Battle for Brooklyn campaign.
The Smart Cover skill unlock.
All gear, weapons, and rewards dropped during missions.
Access to post-campaign zones and activities.
Experience for your Season Pass level.
Optional World Bosses, Bounties, and Control Points.",,"13,99 €",Battle for Brooklyn,https://skycoach.gg/division-2-boost/battle-for-brooklyn,https://skycoach.gg/storage/uploads/products/battle-for-brooklyn-campaign1747922773_picture_item.png
Vindicator,"The
Vindicator
Exotic Rifle obtained on your account;
A number of
Descent
runs and
NSA Credits
;
All other
High-End
and
Exotic
gear that might drop during the service;
Experience for your Season Pass and SHD Level.",,"19,99 €",Exotic Weapons,https://skycoach.gg/division-2-boost/exotic-weapons,https://skycoach.gg/storage/uploads/products/vindicator1707132609_picture_item.png
Battle for Brooklyn Complete Bundle,"This complete bundle includes:
The Battle for Brooklyn campaign.
The Smart Cover skill.
The Catalyst - Exotic Mask.
4 World Missions and 4 Control Points.
16 World Bosses and 10 Bounties.
8 Hunter riddles with rewards.",,"0,99 €",Battle for Brooklyn,https://skycoach.gg/division-2-boost/battle-for-brooklyn,https://skycoach.gg/storage/uploads/products/battle-for-brooklyn-complete-bundle1748006186_picture_item.png
