Name,Description,Icon,Price,Category,Link,GameCharImage
Storyline Completion,"Full completion of the
chosen storyline;
All
resources and equipment
that drop during completion.",,"0,89 €",Quests,https://skycoach.gg/tower-of-fantasy-boost/quests,https://skycoach.gg/storage/uploads/products/storyline-completion1682279496_picture_item.png
Voyager Mount,"The mount
added to your collection.
Claim this flying two-wheeled vehicle and traverse the world in style!",,"35,09 €",Collecting,https://skycoach.gg/tower-of-fantasy-boost/collecting,https://skycoach.gg/storage/uploads/products/voyager-mount1682280110_picture_item.png
Chaser Mount,"The mount
added to your collection.
Claim this mechanical floating platform and traverse the world in style!",,"35,09 €",Relics and Vehicles,https://skycoach.gg/tower-of-fantasy-boost/relics-and-vehicles,https://skycoach.gg/storage/uploads/products/chaser-mount1682280068_picture_item.png
Omnium Beast VII Mount,"The mount
added to your collection.
Claim this tyrannosaurus rex-like creature and traverse the world in style!",,"35,09 €",Relics and Vehicles,https://skycoach.gg/tower-of-fantasy-boost/relics-and-vehicles,https://skycoach.gg/storage/uploads/products/omnium-beast-vii-mount1682279957_picture_item.png
Chaser Mount,"The mount
added to your collection.
Claim this mechanical floating platform and traverse the world in style!",,"35,09 €",Collecting,https://skycoach.gg/tower-of-fantasy-boost/collecting,https://skycoach.gg/storage/uploads/products/chaser-mount1682280068_picture_item.png
Omnium Beast VII Mount,"The mount
added to your collection.
Claim this tyrannosaurus rex-like creature and traverse the world in style!",,"35,09 €",Collecting,https://skycoach.gg/tower-of-fantasy-boost/collecting,https://skycoach.gg/storage/uploads/products/omnium-beast-vii-mount1682279957_picture_item.png
Monocross Mount,"The mount
added to your collection.
Claim this mythical mechanical creature and traverse the world in style!",,"35,09 €",Relics and Vehicles,https://skycoach.gg/tower-of-fantasy-boost/relics-and-vehicles,https://skycoach.gg/storage/uploads/products/monocross-mount1682280024_picture_item.png
Voyager Mount,"The mount
added to your collection.
Claim this flying two-wheeled vehicle and traverse the world in style!",,"35,09 €",Relics and Vehicles,https://skycoach.gg/tower-of-fantasy-boost/relics-and-vehicles,https://skycoach.gg/storage/uploads/products/voyager-mount1682280110_picture_item.png
Weekly & Daily Activities Completion,"Full completion of all
Daily & Weekly Activities;
All
resources and equipment
that drop during completion.",,"5,39 €",Quests,https://skycoach.gg/tower-of-fantasy-boost/quests,https://skycoach.gg/storage/uploads/products/weekly-daily-activities-completion1682279405_picture_item.png
Monocross Mount,"The mount
added to your collection.
Claim this mythical mechanical creature and traverse the world in style!",,"35,09 €",Collecting,https://skycoach.gg/tower-of-fantasy-boost/collecting,https://skycoach.gg/storage/uploads/products/monocross-mount1682280024_picture_item.png
Location Exploration,"Full exploration
of the chosen location.",,"0,89 €",Collecting,https://skycoach.gg/tower-of-fantasy-boost/collecting,https://skycoach.gg/storage/uploads/products/location-exploration1682279684_picture_item.png
