Game Name,Link,Image
World of Warcraft,/wow-boost,/storage/uploads/game-assets/icons/a363164b2b.svg
WoW Classic 20th Anniversary,/wow-classic-20th-anniversary-boost,/storage/uploads/game-assets/icons/1acd8bb3cd.svg
Destiny 2,/destiny-boost,/images/games/icons/3.svg
Call of Duty,/call-of-duty-boost,/images/games/icons/5.svg
Elden Ring Nightreign,/elden-ring-nightreign-boost,/storage/uploads/game-assets/icons/d40c3b6917.svg
8 Ball Pool,/8-ball-pool-boost,/storage/uploads/game-assets/icons/254932daa2.svg
Albion Online,/albion-online-boost,/images/games/icons/59.svg
Apex Legends,/apex-legends-boost,/images/games/icons/8.svg
ARC Raiders,/arc-raiders-boost,/storage/uploads/game-assets/icons/2e132e2342.svg
Arena Breakout: Infinite,/arena-breakout-infinite-boost,/storage/uploads/game-assets/icons/86515ac5f0.svg
Ashes of Creation,/ashes-of-creation-boost,/storage/uploads/game-assets/icons/adb6410ee2.svg
Black Desert Online,/black-desert-online-boost,/storage/uploads/game-assets/icons/8e2036c04a.svg
Blade & Soul NEO,/blade-and-soul-neo-boost,/storage/uploads/game-assets/icons/42356ccc4b.svg
Brawl Stars,/brawl-stars-boost,/storage/uploads/game-assets/icons/0f518402bf.svg
Call of Duty Mobile,/cod-mobile-boost,/storage/uploads/game-assets/icons/3f45bfdf03.svg
Clash of Clans,/clash-of-clans-boost,/storage/uploads/game-assets/icons/7ea859dc83.svg
Clash Royale,/clash-royale-boost,/storage/uploads/game-assets/icons/a0c62528b1.svg
Corepunk,/corepunk-boost,/storage/uploads/game-assets/icons/d2283689d1.svg
Counter-Strike 2,/counter-strike-2-boost,/images/games/icons/53.svg
Dark and Darker,/dark-and-darker-boost,/images/games/icons/57.svg
Dead by Daylight,/dead-by-daylight-boost,/images/games/icons/28.svg
Deadlock,/deadlock-boost,/storage/uploads/game-assets/icons/2905fe700f.svg
Delta Force Hawk Ops,/delta-force-hawk-ops-boost,/storage/uploads/game-assets/icons/2fe121bbe6.svg
Diablo 4,/diablo-4-boost,/images/games/icons/27.svg
Diablo Immortal,/diablo-immortal-boost,/images/games/icons/18.svg
Division 2,/division-2-boost,/images/games/icons/26.svg
Dota 2,/dota-2-boost,/images/games/icons/52.svg
Dragon Ball Legends,/dragon-ball-legends-boost,/storage/uploads/game-assets/icons/baf42fdcc4.svg
Dune: Awakening,/dune-awakening-boost,/storage/uploads/game-assets/icons/546c858d3e.svg
Elden Ring,/elden-ring-boost,/images/games/icons/64.svg
Escape from Tarkov,/escape-from-tarkov-boost,/images/games/icons/10.svg
EVE Online,/eve-online-boost,/images/games/icons/63.svg
Fallout 76,/fallout-76-boost,/storage/uploads/game-assets/icons/ed48e4ea79.svg
FC 25,/fc-25-boost,/storage/uploads/game-assets/icons/7cddc78525.svg
Final Fantasy XIV,/final-fantasy-xiv-boost,/images/games/icons/11.svg
Fortnite,/fortnite-boost,/images/games/icons/58.svg
Forza Horizon 5,/forza-horizon-5-boost,/images/games/icons/82.svg
FragPunk,/fragpunk-boost,/storage/uploads/game-assets/icons/032c4fdb89.svg
Genshin Impact,/genshin-impact-boost,/images/games/icons/14.svg
GoT Kingsroad,/kingsroad-boost,/storage/uploads/game-assets/icons/43dc39aea2.svg
Guild Wars 2,/guild-wars-2-boost,/images/games/icons/68.svg
Hay Day,/hayday-boost,/storage/uploads/game-assets/icons/da7fe1ce9f.svg
Hearthstone,/hearthstone-boost,/images/games/icons/13.svg
Helldivers 2,/helldivers-2-boost,/images/games/icons/84.svg
Honkai Star Rail,/honkai-star-rail-boost,/images/games/icons/44.svg
Hunt Showdown,/hunt-showdown-boost,/storage/uploads/game-assets/icons/eb7c20eceb.svg
Last Epoch,/last-epoch-boost,/images/games/icons/85.svg
League of Legends,/lol-boost,/images/games/icons/2.svg
Lost Ark,/lost-ark-boost,/images/games/icons/15.svg
MapleStory,/maplestory-boost,/storage/uploads/game-assets/icons/92a464939d.svg
Marvel Rivals,/marvel-rivals-boost,/storage/uploads/game-assets/icons/b9e5c4e95c.svg
Minecraft,/minecraft-boost,/storage/uploads/game-assets/icons/bd70a38782.svg
Mobile Legends,/mobile-legends-boost,/images/games/icons/43.svg
MoCo,/moco-boost,/storage/uploads/game-assets/icons/3bc9a3c7c6.svg
Monopoly Go,/monopoly-go-boost,/storage/uploads/game-assets/icons/1cd889ef0f.svg
Monster Hunter Wilds,/monster-hunter-wilds-boost,/storage/uploads/game-assets/icons/f5eafc10b3.svg
NBA,/nba-boost,/images/games/icons/17.svg
New World,/new-world-boost,/images/games/icons/7.svg
Once Human,/once-human-boost,/storage/uploads/game-assets/icons/f5fff018e8.svg
One Piece Bounty Rush,/one-piece-bounty-rush-boost,/storage/uploads/game-assets/icons/f145698b8b.svg
Overwatch 2,/overwatch-boost,/images/games/icons/12.svg
Palia,/palia-boost,/images/games/icons/47.svg
Palworld,/palworld-boost,/images/games/icons/86.svg
Path of Exile,/path-of-exile-boost,/images/games/icons/9.svg
Path of Exile 2,/path-of-exile-2-boost,/storage/uploads/game-assets/icons/d22f7c2c34.svg
Pax Dei,/pax-dei-boost,/storage/uploads/game-assets/icons/d679b56d63.svg
Pokemon GO,/pokemon-go-boost,/storage/uploads/game-assets/icons/c6f57f2913.svg
PUBG Mobile,/pubg-mobile-boost,/storage/uploads/game-assets/icons/d85610e099.svg
Quinfall,/quinfall-boost,/images/games/icons/73.svg
Rainbow Six Siege,/r6-boost,/images/games/icons/33.svg
RAID: Shadow Legends,/raid-shadow-legends-boost,/storage/uploads/game-assets/icons/fd21ef005b.svg
Ravendawn Online,/ravendawn-boost,/storage/uploads/game-assets/icons/7f9e736f40.svg
RBLX,/roblox-boost,/storage/uploads/game-assets/icons/f95b57d0a1.svg
Red Dead Redemption 2,/red-dead-redemption-2-boost,/images/games/icons/56.svg
Rematch,/rematch-boost,/storage/uploads/game-assets/icons/9fc98c5c45.svg
Remnant 2,/remnant-2-boost,/images/games/icons/49.svg
Rocket League,/rocket-league-boost,/images/games/icons/32.svg
RuneScape,/runescape-boost,/images/games/icons/21.svg
RuneScape Dragonwilds,/runescape-dragonwilds-boost,/storage/uploads/game-assets/icons/c204b0b8f5.svg
Old School RuneScape,/runescape-os-boost,/storage/uploads/game-assets/icons/d353f7317a.svg
Rust,/rust-boost,/storage/uploads/game-assets/icons/89714054f5.svg
Sea of Thieves,/sea-of-thieves-boost,/storage/uploads/game-assets/icons/8a9fa179ac.svg
Squad Busters,/squad-busters-boost,/storage/uploads/game-assets/icons/8d45c05b8e.svg
Star Wars: The Old Republic,/star-wars-the-old-republic-boost,/images/games/icons/69.svg
Summoners War,/summoners-war-boost,/storage/uploads/game-assets/icons/750c3dbade.svg
