Game Name,Category,Link,Subcategory
Remnant 2,The Dark Horizon,https://skycoach.gg/remnant-2-boost/the-dark-horizon,
Remnant 2,Weapons & Items,https://skycoach.gg/remnant-2-boost/weapons,
Remnant 2,Campaign,https://skycoach.gg/remnant-2-boost/campaign,
Remnant 2,Bosses,https://skycoach.gg/remnant-2-boost/bosses,
Remnant 2,Archetypes & Leveling,https://skycoach.gg/remnant-2-boost/classes-leveling,
Remnant 2,Archetypes & Leveling,https://skycoach.gg/remnant-2-boost/classes-leveling/archetypes-unlock,Archetypes Unlock
Remnant 2,Archetypes & Leveling,https://skycoach.gg/remnant-2-boost/classes-leveling/leveling,Archetypes Leveling
Remnant 2,Builds,https://skycoach.gg/remnant-2-boost/builds,
Remnant 2,The Forgotten Kingdom,https://skycoach.gg/remnant-2-boost/the-forgotten-kingdom,
Remnant 2,The Awakened King,https://skycoach.gg/remnant-2-boost/the-awakened-king,
