Game Name,Category,Link,Subcategory
Final Fantasy XIV,Dawntrail,https://skycoach.gg/final-fantasy-xiv-boost/dawntrail,
Final Fantasy XIV,Gil,https://skycoach.gg/final-fantasy-xiv-boost/gil,
Final Fantasy XIV,Raids,https://skycoach.gg/final-fantasy-xiv-boost/raids,
Final Fantasy XIV,Raids,https://skycoach.gg/final-fantasy-xiv-boost/raids/the-arcadion,The Arcadion
Final Fantasy XIV,Raids,https://skycoach.gg/final-fantasy-xiv-boost/raids/futures-rewritten,Futures Rewritten
Final Fantasy XIV,Raids,https://skycoach.gg/final-fantasy-xiv-boost/raids/the-omega-protocol,The Omega Protocol
Final Fantasy XIV,Raids,https://skycoach.gg/final-fantasy-xiv-boost/raids/pandaemonium-raid,Pandaemonium
Final Fantasy XIV,Leveling,https://skycoach.gg/final-fantasy-xiv-boost/leveling,
Final Fantasy XIV,Extreme Trials,https://skycoach.gg/final-fantasy-xiv-boost/trials,
Final Fantasy XIV,Glamour,https://skycoach.gg/final-fantasy-xiv-boost/glamour,
Final Fantasy XIV,PvP,https://skycoach.gg/final-fantasy-xiv-boost/pvp,
Final Fantasy XIV,Gearing,https://skycoach.gg/final-fantasy-xiv-boost/gearing,
Final Fantasy XIV,Dungeons,https://skycoach.gg/final-fantasy-xiv-boost/dungeons,
Final Fantasy XIV,Mounts,https://skycoach.gg/final-fantasy-xiv-boost/mounts,
