option_id,service_id,parent_option_id,option_type,option_name,option_label,option_value,price_modifier,min_value,max_value,default_value,is_required,display_order,is_active,created_at,updated_at
1,1,,slider,_current_level,Current Level,1,0.0,1,60,1,1,1,1,2025-08-19 06:58:40,2025-08-19 06:58:40
2,1,,slider,_desired_level,Desired Level,20,0.0,1,60,20,1,2,1,2025-08-19 06:58:40,2025-08-19 06:58:40
3,1,,dropdown,season_|_difficulty,Season | Difficulty,,0.0,,,,1,3,1,2025-08-19 06:58:40,2025-08-19 06:58:40
4,1,3,dropdown,season_|_difficulty_season_9,Season 9,2,0.0,,,,0,4,1,2025-08-19 06:58:40,2025-08-19 06:58:40
5,1,3,dropdown,season_|_difficulty_season_9_hardcore,Season 9 Hardcore,3,0.0,,,,0,5,1,2025-08-19 06:58:40,2025-08-19 06:58:40
6,1,3,dropdown,season_|_difficulty_eternal_realm,Eternal Realm,4,0.0,,,,0,6,1,2025-08-19 06:58:40,2025-08-19 06:58:40
7,1,3,dropdown,season_|_difficulty_eternal_realm_hardcore,Eternal Realm Hardcore,5,0.0,,,,0,7,1,2025-08-19 06:58:40,2025-08-19 06:58:40
8,1,,radio,paragon_leveling,Paragon Leveling,,0.0,,,,1,8,1,2025-08-19 06:58:40,2025-08-19 06:58:40
9,1,8,radio,paragon_leveling_add_1-100_paragon_leveling,Add 1-100 Paragon Leveling,1,9.0,,,,0,9,1,2025-08-19 06:58:40,2025-08-19 06:58:40
10,1,8,radio,paragon_leveling_add_1-150_paragon_leveling,Add 1-150 Paragon Leveling,2,19.0,,,,0,10,1,2025-08-19 06:58:40,2025-08-19 06:58:40
11,1,8,radio,paragon_leveling_add_1-200_paragon_leveling,Add 1-200 Paragon Leveling,3,30.0,,,,0,11,1,2025-08-19 06:58:40,2025-08-19 06:58:40
12,1,,checkbox,choose_extras,Choose Extras,,0.0,,,,0,12,1,2025-08-19 06:58:40,2025-08-19 06:58:40
13,1,12,checkbox,choose_extras_claim_all_tenets_of_akarat,Claim all Tenets of Akarat,21,9.0,,,,0,13,1,2025-08-19 06:58:40,2025-08-19 06:58:40
14,1,12,checkbox,choose_extras_renown_level_5_boost,Renown Level 5 Boost,12,17.0,,,,0,14,1,2025-08-19 06:58:40,2025-08-19 06:58:40
15,1,12,checkbox,choose_extras_leveling_through_the_main_campaign,Leveling Through the Main Campaign,20,15.0,,,,0,15,1,2025-08-19 06:58:40,2025-08-19 06:58:40
16,1,12,checkbox,choose_extras_upgrade_gear,Upgrade Gear,24,0.72,,,,0,16,1,2025-08-19 06:58:40,2025-08-19 06:58:40
17,1,,slider,_gold_(billions),Gold (Billions),25,0.0,25,1000,25,1,1,1,2025-08-19 06:58:40,2025-08-19 06:58:40
18,1,,radio,choose_difficulty,Choose Difficulty,,0.0,,,,1,2,1,2025-08-19 06:58:40,2025-08-19 06:58:40
19,1,18,radio,choose_difficulty_sins_of_the_horadrim_(season_9),Sins of the Horadrim (Season 9),1,0.0,,,1,0,3,1,2025-08-19 06:58:40,2025-08-19 06:58:40
20,1,18,radio,choose_difficulty_sins_of_the_horadrim_hardcore_(season_9),Sins of the Horadrim Hardcore (Season 9),2,0.0,,,2,0,4,1,2025-08-19 06:58:40,2025-08-19 06:58:40
21,1,18,radio,choose_difficulty_eternal_softcore,Eternal Softcore,3,0.0,,,3,0,5,1,2025-08-19 06:58:40,2025-08-19 06:58:40
22,1,18,radio,choose_difficulty_eternal_hardcore,Eternal Hardcore,4,0.0,,,4,0,6,1,2025-08-19 06:58:40,2025-08-19 06:58:40
23,1,,slider,_belial_kills,Belial Kills,3,0.0,3,300,3,1,1,1,2025-08-19 06:58:43,2025-08-19 06:58:43
24,1,,dropdown,realm_&_difficulty_mode,Realm & Difficulty Mode,,0.0,,,,1,2,1,2025-08-19 06:58:43,2025-08-19 06:58:43
25,1,24,dropdown,realm_&_difficulty_mode_season_softcore,Season Softcore,1,0.0,,,,0,3,1,2025-08-19 06:58:43,2025-08-19 06:58:43
26,1,24,dropdown,realm_&_difficulty_mode_season_hardcore,Season Hardcore,2,0.0,,,,0,4,1,2025-08-19 06:58:43,2025-08-19 06:58:43
27,1,,dropdown,choose_the_difficulty,Choose the Difficulty,,0.0,,,,1,5,1,2025-08-19 06:58:43,2025-08-19 06:58:43
