option_id,service_id,parent_option_id,option_type,option_name,option_label,option_value,price_modifier,min_value,max_value,default_value,is_required,display_order,is_active,created_at,updated_at
1,1,,radio,difficulty,Difficulty,,0.00,,,,1,1,1,2025-08-24 16:33:26,2025-08-24 16:33:26
2,1,1,radio,difficulty_normal_completion,Normal Completion,1,24.00,,,,0,2,1,2025-08-24 16:33:26,2025-08-24 16:33:26
3,1,1,radio,difficulty_normal_last_boss_only,Normal Last Boss Only,2,12.00,,,,0,3,1,2025-08-24 16:33:26,2025-08-24 16:33:26
4,1,1,radio,difficulty_flawless_completion,Flawless Completion,3,143.00,,,,0,4,1,2025-08-24 16:33:26,2025-08-24 16:33:26
5,1,1,radio,difficulty_epic_raid_contest_mode_(first_48h),Epic Raid Contest Mode (first 48h),4,439.00,,,4,0,5,1,2025-08-24 16:33:26,2025-08-24 16:33:26
6,1,,checkbox,feats,Feats,,0.00,,,,0,6,1,2025-08-24 16:33:27,2025-08-24 16:33:27
7,1,6,checkbox,feats_18,Phase Race,18,6.00,,,,0,7,1,2025-08-24 16:33:27,2025-08-24 16:33:27
8,1,6,checkbox,feats_13,Cutthorat Combat,13,7.00,,,,0,8,1,2025-08-24 16:33:27,2025-08-24 16:33:27
9,1,6,checkbox,feats_14,Battalions,14,6.00,,,,0,9,1,2025-08-24 16:33:27,2025-08-24 16:33:27
10,1,6,checkbox,feats_15,Token Limit,15,6.00,,,,0,10,1,2025-08-24 16:33:27,2025-08-24 16:33:27
11,1,6,checkbox,feats_16,Challenge Encounter,16,7.00,,,,0,11,1,2025-08-24 16:33:27,2025-08-24 16:33:27
12,1,,checkbox,additional_options,Additional Options,,0.00,,,,0,12,1,2025-08-24 16:33:27,2025-08-24 16:33:27
13,1,12,checkbox,additional_options_4,Selfplay (Sherpa),4,12.45,,,,0,13,1,2025-08-24 16:33:27,2025-08-24 16:33:27
14,1,12,checkbox,additional_options_0,Secret Chests,0,3.00,,,,0,14,1,2025-08-24 16:33:27,2025-08-24 16:33:27
15,1,12,checkbox,additional_options_5,Find 12 Vex Convergences,5,4.00,,,,0,15,1,2025-08-24 16:33:27,2025-08-24 16:33:27
16,1,,checkbox,choose_extras,Choose Extras,,0.00,,,,0,16,1,2025-08-24 16:33:28,2025-08-24 16:33:28
17,1,16,checkbox,choose_extras_1,Add Whirling Ovation Exotic,1,77.00,,,,0,17,1,2025-08-24 16:33:28,2025-08-24 16:33:28
18,1,16,checkbox,choose_extras_2,The Edge of Fate Campaign - Legendary,2,23.00,,,,0,18,1,2025-08-24 16:33:28,2025-08-24 16:33:28
19,2,,range,current_power_needed_power,Current Power /// Needed Power,,0.00,,,,1,1,1,2025-08-24 16:34:11,2025-08-24 16:34:11
20,2,19,range,current_power_needed_power_value_1,Current Power,10,0.00,10,450,10,1,2,1,2025-08-24 16:34:11,2025-08-24 16:34:11
21,2,19,range,current_power_needed_power_value_2,Needed Power,110,0.00,10,450,110,1,3,1,2025-08-24 16:34:11,2025-08-24 16:34:11
