option_id,service_id,parent_option_id,option_type,option_name,option_label,option_value,price_modifier,min_value,max_value,default_value,is_required,display_order,is_active,created_at,updated_at
1,1,,radio,difficulty,Difficulty,,0.00,,,,1,1,1,2025-08-24 20:43:55,2025-08-24 20:43:55
2,1,1,radio,difficulty_normal_completion,Normal Completion,1,24.00,,,,0,2,1,2025-08-24 20:43:55,2025-08-24 20:43:55
3,1,1,radio,difficulty_normal_last_boss_only,Normal Last Boss Only,2,12.00,,,,0,3,1,2025-08-24 20:43:55,2025-08-24 20:43:55
4,1,1,radio,difficulty_flawless_completion,Flawless Completion,3,143.00,,,,0,4,1,2025-08-24 20:43:55,2025-08-24 20:43:55
5,1,1,radio,difficulty_epic_raid_contest_mode_first_48h_,Epic Raid Contest Mode (first 48h),4,439.00,,,4,0,5,1,2025-08-24 20:43:55,2025-08-24 20:43:55
6,1,,checkbox,feats,Feats,,0.00,,,,0,6,1,2025-08-24 20:43:55,2025-08-24 20:43:55
7,1,6,checkbox,feats_18,Phase Race,18,6.00,,,,0,7,1,2025-08-24 20:43:55,2025-08-24 20:43:55
8,1,6,checkbox,feats_13,Cutthorat Combat,13,7.00,,,,0,8,1,2025-08-24 20:43:55,2025-08-24 20:43:55
9,1,6,checkbox,feats_14,Battalions,14,6.00,,,,0,9,1,2025-08-24 20:43:55,2025-08-24 20:43:55
10,1,6,checkbox,feats_15,Token Limit,15,6.00,,,,0,10,1,2025-08-24 20:43:55,2025-08-24 20:43:55
11,1,6,checkbox,feats_16,Challenge Encounter,16,7.00,,,,0,11,1,2025-08-24 20:43:55,2025-08-24 20:43:55
12,1,,checkbox,additional_options,Additional Options,,0.00,,,,0,12,1,2025-08-24 20:43:55,2025-08-24 20:43:55
13,1,12,checkbox,additional_options_4,Selfplay (Sherpa),4,12.45,,,,0,13,1,2025-08-24 20:43:55,2025-08-24 20:43:55
14,1,12,checkbox,additional_options_0,Secret Chests,0,3.00,,,,0,14,1,2025-08-24 20:43:55,2025-08-24 20:43:55
15,1,12,checkbox,additional_options_5,Find 12 Vex Convergences,5,4.00,,,,0,15,1,2025-08-24 20:43:55,2025-08-24 20:43:55
16,1,,checkbox,choose_extras,Choose Extras,,0.00,,,,0,16,1,2025-08-24 20:43:56,2025-08-24 20:43:56
17,1,16,checkbox,choose_extras_1,Add Whirling Ovation Exotic,1,77.00,,,,0,17,1,2025-08-24 20:43:56,2025-08-24 20:43:56
18,1,16,checkbox,choose_extras_2,The Edge of Fate Campaign - Legendary,2,23.00,,,,0,18,1,2025-08-24 20:43:56,2025-08-24 20:43:56
19,1,3,checkbox,feats,Feats,,0.00,,,,0,19,1,2025-08-24 20:44:04,2025-08-24 20:44:04
20,1,19,checkbox,feats_4,Phase Race,4,4.00,,,,0,20,1,2025-08-24 20:44:04,2025-08-24 20:44:04
21,1,19,checkbox,feats_5,Cutthorat Combat,5,5.00,,,,0,21,1,2025-08-24 20:44:04,2025-08-24 20:44:04
22,1,19,checkbox,feats_6,Battalions,6,4.00,,,,0,22,1,2025-08-24 20:44:04,2025-08-24 20:44:04
23,1,19,checkbox,feats_7,Token Limit,7,4.00,,,,0,23,1,2025-08-24 20:44:04,2025-08-24 20:44:04
24,1,3,checkbox,additional_options,Additional Options,,0.00,,,,0,24,1,2025-08-24 20:44:04,2025-08-24 20:44:04
25,1,24,checkbox,additional_options_2,I have the Last Boss Checkpoint,2,0.00,,,,0,25,1,2025-08-24 20:44:04,2025-08-24 20:44:04
26,1,24,checkbox,additional_options_1,Selfplay (Sherpa),1,6.45,,,,0,26,1,2025-08-24 20:44:04,2025-08-24 20:44:04
27,1,5,checkbox,additional_options,Additional Options,,0.00,,,,0,27,1,2025-08-24 20:44:07,2025-08-24 20:44:07
28,1,27,checkbox,additional_options_1,Last Boss Only,1,-219.95,,,,0,28,1,2025-08-24 20:44:07,2025-08-24 20:44:07
29,2,,range,current_power_needed_power,Current Power - Needed Power,,0.00,,,,1,1,1,2025-08-24 20:44:31,2025-08-24 20:44:31
30,2,29,range,current_power_needed_power_from,Current Power,10,0.00,10,450,10,1,2,1,2025-08-24 20:44:31,2025-08-24 20:44:31
31,2,29,range,current_power_needed_power_to,Needed Power,110,0.00,10,450,110,1,3,1,2025-08-24 20:44:31,2025-08-24 20:44:31
32,2,,radio,season,Season,,0.00,,,,1,4,1,2025-08-24 20:44:31,2025-08-24 20:44:31
33,2,32,radio,season_the_edge_of_fate,The Edge of Fate,1,0.00,,,1,0,5,1,2025-08-24 20:44:31,2025-08-24 20:44:31
34,3,,radio,difficulty,Difficulty,,0.00,,,,1,1,1,2025-08-24 20:44:53,2025-08-24 20:44:53
