service_id,game_id,name,description,price_per_unit,sale_price,icon_url,category,game_name
1,,Flawless Desert Perpetual Raid,"Looking for a cool shader and a way to increase the raid exotic drop chance? Our Destiny 2 Desert Perpetual Flawless raid boost offers you just that, on top with some powerful weapons and gear for your character. With our Flawless Desert Perpetual carry service, you will get: The entire raid completed without any deaths A higher chance to get the raid exotic weapon The Death-Defiant Triumph The Mediant Flourish Shader Some raid weapons & armor Experience for your Season Pass and Artifact",115.82,,https://skycoach.gg/storage/uploads/products/flawless-desert-perpetual-raid1753192041_picture_item.png,Destiny 2,Destiny 2
2,,Opaque Hourglass Crossbow,"Buy Opaque Hourglass - an Arc Crossbow from Destiny 2 The Desert Perpetual raid and enjoy the Skycoach’s fast & safe boosting service. Select the desired weapon Tier and options to let the Pro players know which rolls to target farm. Our boost delivers the weapon straight to your character quickly and securely. What you'll get: The Opaque Hourglass Crossbow on your character. Option to farm multiple drops or optimal perks. Chance to get other raid weapons and armor. All other legendary and exotic loot that drops during the service. Experience for your Episode Pass and Artifact to level up faster. There are significant benefits to buying Opaque Hourglass at the higher Tiers, so here's a breakdown: Tier 1: Base weapon that supports seasonal mods; Tier 2: Enhanced perks; Tier 3: Two perks to choose from per column;",14.57,,https://skycoach.gg/storage/uploads/products/opaque-hourglass-crossbow1752839870_picture_item.png,Destiny 2,Destiny 2
3,,The Desert Perpetual Raid,"Buy Destiny 2 The Desert Perpetual raid boost and get some powerful weapons and gear for your character. This raid is included with The Edge of Fate expansion and presents players with significant challenges, requiring precise teamwork and optimized loadouts. With our Desert Perpetual carry service, you will get: The entire raid or the completion of the last boss A chance to get the raid exotic weapon Unique Emblem for the first completion New raid weapons & armor Experience for your Season Pass and Artifact. If you have the Map and Territory quest with the ""Convergence identified"" step, pick the ""Find 12 Vex Convergences"" option to get the Envoy's Togs shader.",0.89,,https://skycoach.gg/storage/uploads/products/the-desert-perpetual-raid1753192098_picture_item.png,Destiny 2,Destiny 2
4,,Flawless Desert Perpetual Raid,"Looking for a cool shader and a way to increase the raid exotic drop chance? Our Destiny 2 Desert Perpetual Flawless raid boost offers you just that, on top with some powerful weapons and gear for your character. With our Flawless Desert Perpetual carry service, you will get: The entire raid completed without any deaths A higher chance to get the raid exotic weapon The Death-Defiant Triumph The Mediant Flourish Shader Some raid weapons & armor Experience for your Season Pass and Artifact",115.82,,https://skycoach.gg/storage/uploads/products/flawless-desert-perpetual-raid1753192041_picture_item.png,Destiny 2,Destiny 2
5,,Vault of Glass Raid,The Vault of Glass Raid completed on your character; A chance to obtain Rare Raid Exotic - Vex Mythoclast; Unique Vault of Glass gear; All other Legendary and Exotic loot that drops during the service; Exp for your Season Pass and Artifact.,6.99,,https://skycoach.gg/storage/uploads/products/vault-of-glass-raid1622634580_picture_item.png,Destiny 2,Destiny 2
6,,Salvation's Edge Raid,"Buy Destiny 2 Salvation's Edge Raid boost to obtain new raid weapons and gear. With our carry service, you will get: The full raid or last boss raid completion; A chance to get the Euphony Exotic Linear Fusion Rifle; Unique Emblem for the first completion; New Raid Weapons & Armor; All the loot that drops during the service; Experience for your Season Pass and Artifact.",8.89,,https://skycoach.gg/storage/uploads/products/salvations-edge-raid1718616295_picture_item.png,Destiny 2,Destiny 2
7,,Last Wish Raid,"Buy Destiny 2 Last Wish Raid boost to complete this raid without any problems. Choose professional assistance from Skycoach instead of grinding and effortlessly obtain all valuable raid rewards. You will get: The Last Wish Raid Completion on your Character (if you choose multiple characters within the “extra options,” then they will also receive the Last Wish Raid Completion at a discount); A chance to obtain the Rare Raid Exotic - One Thousand Voices , which you can only obtain from the Last Wish Raid; Exclusive Last Wish Gear (If you need a specific weapon, then you need to check our raid legendary weapons service and choose a random roll or a roll with a guaranteed perk that you want); Spoils of Conquest; All other Legendary and Exotic loot that drops during the service; Exp for your Season Pass and Artifact.",6.99,,https://skycoach.gg/storage/uploads/products/last-wish1621636594_picture_item.png,Destiny 2,Destiny 2
8,,The Root of Nightmares Raid,Full The Root of Nightmares Raid Completed on your character; Unique and Pinnacle Root of Nightmares Raid loot; A chance to obtain brand-new raid exotic - Conditional Finality ; Some Spoils of Conquests; All other Legendary and Exotic loot that might drop during the service; Exp for your Season Pass and Artifact.,0.99,,https://skycoach.gg/storage/uploads/products/the-root-of-nightmares-raid1678641779_picture_item.png,Destiny 2,Destiny 2
9,,Conditional Finality,"Buy Destiny 2 Conditional Finality boost and easily obtain this powerful and unique shotgun. It is a good choice for both PvP and PvP due to its synergy with stasis and solar, as well as its high handling and damage output. Opt for our Conditional Finality boosting now and receive the following: The Conditional Finality Exotic Shotgun obtained on your account; Unique Root of Nightmares Raid Gear; All other Legendary and Exotic loot that might drop during the service; Exp for your Season Pass and Artifact.",31.19,,https://skycoach.gg/storage/uploads/products/conditional-finality1678547386_picture_item.png,Destiny 2,Destiny 2
10,,Master Vow of the Disciple Raid,"Buy Destiny 2 Master Vow of the Disciple boost and get this raid flawlessly completed quickly, guaranteed, and effortlessly! You will get: The Vow of the Disciple Raid Completed on Master Difficulty; Gouging Light Exotic Sparrow Obtained on your Account; A chance to get unique Raid Exotic - Collective Obligation only obtainable from the Vow of the Disciple Raid; Unique Pinnacle Vow of the Disciple Raid gear (Adept Weapons available with the Weekly Master Challenge option); All Legendary and Exotic loot that might drop during the service; Exp for your Season Pass and Artifact.",14.99,,https://skycoach.gg/storage/uploads/products/master-vow-of-the-disciple-raid1650300302_picture_item.png,Destiny 2,Destiny 2
