service_id,game_id,name,description,price_per_unit,sale_price,icon_url,category,game_name
1,,The Desert Perpetual Raid,"Buy Destiny 2 The Desert Perpetual raid boost and get some powerful weapons and gear for your character. This raid is included with The Edge of Fate expansion and presents players with significant challenges, requiring precise teamwork and optimized loadouts. With our Desert Perpetual carry service, you will get: The entire raid or the completion of the last boss A chance to get the raid exotic weapon Unique Emblem for the first completion New raid weapons & armor Experience for your Season Pass and Artifact. If you have the Map and Territory quest with the ""Convergence identified"" step, pick the ""Find 12 Vex Convergences"" option to get the Envoy's Togs shader.",24.89,,https://skycoach.gg/storage/uploads/products/the-desert-perpetual-raid1753192098_picture_item.png,Destiny 2,Destiny 2
2,,Power Level (Light Level) Boost,"Buy Destiny 2 Power Level boost to access the endgame fast and carry your underpowered friends and clanmates. Leveling up in Destiny 2 can take a lot of time and effort, but our Destiny 2 Power Level boosting service has got you covered! Our professional Destiny 2 boosting team will save you time and level you up as much as you need. Not only that, but you will also get all Exotic and Legendary loot that drops upon completion and additional Season Pass and Artifact experience! The selected Power for your character. All other Legendary and Exotic loot that drops during the Power Level boosting service. Additional Season Pass and Artifact experience. The first 110 Power will be achieved during the Edge of Fate Legendary campaign on a single character. Here's the Power brackets breakdown: Power Floor: 10 — Every character starts the game with this level. Legendary campaign: 110 Soft Cap: 200 Powerful Cap: 400 Hard Cap: 450 for the first part of the season and 550 for the second part of the season.",18.99,,https://skycoach.gg/storage/uploads/products/light-level-boost1621740828_picture_item.png,Destiny 2,Destiny 2
3,,The Edge of Fate Campaign,"Buy the Edge of Fate campaign boost in Destiny 2 to complete all the missions, get new weapons, armor, exotics, and more. Besides that, our D2 Edge of Fate campaign carry service offers the following in-game benefits: The selected missions or the whole story completed. Double loot and a powerful set of rewards for Legendary difficulty completion. 105-110 Power for the Legendary campaign without options. 125-130 Power for the Legendary campaign with side quests option. Access to the endgame quests after the Edge of Fate campaign carry. All the loot and resources that will drop during the service. Experience for your Season Pass and Artifact. The Side Quests option includes: Ikora's Tasks 5/5 Lodi's Requests 4/4 Orin's Pieces 4/4 Drifter's Undertaking",16.99,,https://skycoach.gg/storage/uploads/products/the-edge-of-fate-campaign1748353307_picture_item.png,Destiny 2,Destiny 2
4,,Kepler Exploration,"Unlock every secret of Kepler in Destiny 2's Edge of Fate expansion with Skycoach’s Full Kepler Exploration boost. Skip the time sink and dive straight into the weapons, armor, and Triumphs waiting across this treacherous new zone. We will upgrade all your Kepler abilities and explore every region, collecting every collectible and secret chest. What you'll get: The Edge of Fate campaign completed on Legendary, Fabled, and Mythic World Tiers All the side quests and activities completed The Graviton Spike Exotic Hand Cannon obtained and fully upgraded All Dark Matter abilities upgraded to the max All Urns, Secret Treasures, and chests unlocked Progress toward Edge of Fate Title and Triumphs Powerful gear, resources, and exclusive Kepler loot",194.99,,https://skycoach.gg/storage/uploads/products/full-kepler-exploration1752754882_picture_item.png,Destiny 2,Destiny 2
5,,Epic Desert Perpetual Raid,"Buy the Epic Desert Perpetual raid boost — a more challenging version of the Destiny 2 Edge of Fate raid, now intensified with additional mechanics, modifiers, and unique rewards. Secure Tier-5 weapons and gear, exotic catalyst, and secret Triumphs with reliable carry support, tailored to your preferences. The Contest Mode will launch on September 20. Here's the Contest Mode rewards for the full raid clear: Exclusive Contest emblem Whirling Ovation Exotic + Catalyst Tier 5 weapons and gear What you'll get for non-Contest Epic raid clear: Full clear of the Epic Desert Perpetual Raid Optional Feats to get high-tier gear Armor with unique epic set bonuses Unique raid weapons & armor Experience for your Season Pass and Artifact Please note: without any feats, you will be getting Tier 3 raid gear, no matter your current Power level. Increase your rewards Tier by selecting multiple Feats.",439.99,,https://skycoach.gg/storage/uploads/products/epic-desert-perpetual-raid1755877453_picture_item.png,Destiny 2,Destiny 2
6,,Legendary Campaign + Power Cap,"With this Bundle, you are getting: The full Legendary campaign completion. Double loot and a powerful set of rewards. The selected Power level on your gear. New abilities and access to the World Tiers on Kepler. Access to the endgame quests after the Edge of Fate story. Experience for your Season Pass and Artifact.",50.99,,https://skycoach.gg/storage/uploads/products/legendary-campaign-2000-power1717516589_picture_item.png,Destiny 2,Destiny 2
7,,Rewards Pass Boost,"Get our Rewards Pass Boost and reap all the rewards it has to offer. Featuring new Ornaments and lots of other goodies, it's the best way to stock up on all the necessary upgrades and progress your character to the fullest. Buy Rewards Pass Boost now and receive: The selected number of Rewards Pass levels achieved on your account Tons of materials, Strange Coins, Bright Dust, and Glimmer Exotic Engrams, Cyphers, and the featured Exotic Weapon Legendary Weapons, Gear, and Cosmetics",5.49,,https://skycoach.gg/storage/uploads/products/rewards-pass-boost1754926714_picture_item.png,Destiny 2,Destiny 2
8,,Unstable Cores,"Buy Unstable Cores in Destiny 2 to enhance and level up your gear, upgrade your weapons, and increase your Power Level exponentially. Get our Unstable Cores Farming service now and receive: A selected number of Unstable Cores Lots of enhancement cores and strange coins Season Pass and Artifact experience",6.99,,https://skycoach.gg/storage/uploads/products/unstable-cores1754926653_picture_item.png,Destiny 2,Destiny 2
9,,Soloist Ghost Shell,"Skip one of the toughest raid challenges and unlock the Destiny 2 Soloist Ghost Shell quickly with our boosting service. Whether you're a collector or simply want a fancy Ghost to stand out, our team is ready to deliver this exclusive Desert Perpetual cosmetic reward straight to your account — no grind required. What you'll get: Guaranteed Soloist Ghost Shell unlocked on your account The Feature Presentation Triumph The Desert Perpetual raid completed 5 times with all the Feats A higher chance to get the raid exotic weapon Some raid weapons & armor Experience for your Season Pass and Artifact",179.99,,https://skycoach.gg/storage/uploads/products/soloist-ghost-shell1753194665_picture_item.png,Destiny 2,Destiny 2
10,,Whirling Ovation,"Buy the Whirling Ovation Exotic Rocket Launcher from the Desert Perpetual raid in Destiny 2. We will farm the last encounter until the weapon drops — so you will get it guaranteed. What you'll get: The Whirling Ovation added to your collection The exotic Catalyst (optionally), which will be available with the Epic raid launch Some raid last encounter clears Some unique Desert Perpetual loot All other legendary and exotic loot that drops during the service Experience for your Episode Pass and Artifact There are currently two ways to buy the Whirling Ovation exotic: Guaranteed Contest Mode Drop - we will complete the raid within the first 48 hours on Contest difficulty and get you the exotic guaranteed. Farming After the Contest Mode - we will kill the last boss once a week on Normal difficulty until the exotic drops. If you have multiple raid-ready characters, we will kill the boss multiple times/week.",76.99,,https://skycoach.gg/storage/uploads/products/whirling-ovation1752958462_picture_item.png,Destiny 2,Destiny 2
11,,Fated Weapon Title,"Buy the Fated Weapon Title in Destiny 2 and unlock the coveted Title with the help of Skycoach's expert boosting team. Don't waste your time looking for all the puzzles and secrets, and let our professionals handle every objective required for Edge of Fate triumphs. With this service, you will get: Full Title, or the selected Triumphs completed; A lot of the Kepler gear. All loot that drops during the service. Experience for your Season Pass and Artifact. Completing the associated Triumphs requires a lot of skill, time, and dedication. But with our Fated Weapon Title boosting service, you can skip the most tedious parts of the challenge.",0.89,,https://skycoach.gg/storage/uploads/products/fated-weapon-title1752754364_picture_item.png,Destiny 2,Destiny 2
12,,Eunoia,Buy Eunoia Exotic Gauntlets in Destiny 2 to upgrade your Warlock builds and freshen up the gameplay. This exotic enhances your Hellion buddy with increased damage and Scorching capability. Use this service to obtain the armor along with other benefits: The high stats option — 65 or more points overall before Masterworking Specific high stat options — 25 or more points in the selected stat before Masterworking All other Legendary and Exotic loot that drops during the service Experience for your Guardian,8.99,,https://skycoach.gg/storage/uploads/products/eunoia1752490040_picture_item.png,Destiny 2,Destiny 2
13,,Moirai,"Buy Moirai Exotic Armor in Destiny 2 to enhance your Strand Hunter builds and get new abilities. This exotic allows your Threaded Spike to bounce and detonate Tangles, while refunding your melee energy on catch. Use this service to obtain the armor along with other benefits: The high stats option — 65 or more points overall before Masterworking Specific high stat options — 25 or more points in the selected stat before Masterworking All other Legendary and Exotic loot that drops during the service Experience for your Guardian",8.99,,https://skycoach.gg/storage/uploads/products/moirai1752490070_picture_item.png,Destiny 2,Destiny 2
14,,Icefall Mantle,Buy Icefall Mantle Exotic Armor in Destiny 2 to enhance your Stasis Titan builds and get new abilities. This exotic allows your Stasis final blows to grant Frost armor and replaces your class ability with a freezing burst of energy. Use this service to obtain the armor along with other benefits: The high stats option — 65 or more points overall before Masterworking Specific high stat options — 25 or more points in the selected stat before Masterworking All other Legendary and Exotic loot that drops during the service Experience for your Guardian,17.99,,https://skycoach.gg/storage/uploads/products/icefall-mantle1755625853_picture_item.png,Destiny 2,Destiny 2
15,,Melas Panoplia,"Buy Melas Panoplia Exotic Gauntlets in Destiny 2 to upgrade your Titan builds and get the new ability to recall your Solar Hammer after a throw. If timed perfectly, the Hammer will explode and do additional AoE damage to your targets. Use this service to obtain the armor along with other benefits: The high stats option — 65 or more points overall before Masterworking Specific high stat options — 25 or more points in the selected stat before Masterworking All other Legendary and Exotic loot that drops during the service Experience for your Guardian",8.99,,https://skycoach.gg/storage/uploads/products/melas-panoplia1752490030_picture_item.png,Destiny 2,Destiny 2
16,,Giver's Blessing,"Buy Giver’s Blessing Kinetic Auto Rifle from Destiny 2 Edge of Fate expansion and enjoy the Skycoach’s professional boosting service. Select the desired weapon Tier, choose your god roll, and skip the RNG. Our boost delivers the weapon straight to your vault quickly and securely. What you'll get: Giver’s Blessing Auto Rifle will be added to your account. Option to farm multiple drops or optimal perks. Chance to get other Kepler weapons. All other legendary and exotic loot that drops during the service. Experience for your Episode Pass and Artifact to level up faster. There are significant benefits to buying Giver's Blessing at the higher Tiers, so here's a breakdown: Tier 1: Base weapon that supports seasonal mods; Tier 2: Enhanced perks; Tier 3: Two perks to choose from per column; Tier 4: Enhanced weapon mods (Including seasonal); enhanced barrels and magazines; Tier 5: Enhanced origin traits; three perks to choose from per column + a unique ornament, shader, and kill effect. The Tier of an item is determined by your current Power Level and Guardian Rank. Here's which Tier drops you should expect: Power level 200 or below — Tier 1 with a chance of Tier 2 Power level 200+ and Guardian Rank 6 — Tier 2 with a chance of Tier 3 Power level 300+ and Guardian Rank 8 — Tier 3 with a chance of Tier 4 Power level 400+ and Guardian Rank 9 — Tier 4 with a chance of Tier 5 Power level 500+ and Guardian Rank 11 — guaranteed Tier 5 items",7.99,,https://skycoach.gg/storage/uploads/products/givers-blessing1752750208_picture_item.png,Destiny 2,Destiny 2
